"var","level","n_level","Community","Nosocomial"
"Age band","<9 m",939,"544 (57.9%)","395 (42.1%)"
"Age band","18-59 m",299,"206 (68.9%)","93 (31.1%)"
"Age band","60+ m",180,"142 (78.9%)","38 (21.1%)"
"Age band","9-17 m",643,"381 (59.3%)","262 (40.7%)"
"Chronic disease","No",1780,"1173 (65.9%)","607 (34.1%)"
"Chronic disease","Yes",281,"100 (35.6%)","181 (64.4%)"
"Severity","0",1213,"889 (73.3%)","324 (26.7%)"
"Severity","1",690,"336 (48.7%)","354 (51.3%)"
"Severity","2",158,"48 (30.4%)","110 (69.6%)"
"Vaccination","Age-ineligible",939,"544 (57.9%)","395 (42.1%)"
"Vaccination","Eligible, unvaccinated",924,"563 (60.9%)","361 (39.1%)"
"Vaccination","Vaccinated",198,"166 (83.8%)","32 (16.2%)"
