Characteristic,Sev >=1 / total (%),OR for >=1 (95% CI),Sev 2 / total (%),OR for >=2 (95% CI)
Underlying medical conditions,,,,
  No,290/952 (30.5%),1 (ref),36/952 (3.8%),1 (ref)
  Yes,96/170 (56.5%),3.59 (2.53-5.10),31/170 (18.2%),5.95 (3.53-10.02)
Vaccination status,,,,
  Vaccinated,32/198 (16.2%),1 (ref),7/198 (3.5%),1 (ref)
  Unvaccinated,354/924 (38.3%),2.42 (1.60-3.67),60/924 (6.5%),1.44 (0.63-3.30)
"Age at onset (total effect, unadjusted)",,,,
  9-17 m,259/643 (40.3%),1 (ref),39/643 (6.1%),1 (ref)
  18-59 m,94/299 (31.4%),0.68 (0.51-0.91),16/299 (5.4%),0.88 (0.48-1.59)
  60+ m,33/180 (18.3%),0.33 (0.22-0.50),12/180 (6.7%),1.11 (0.57-2.16)
